Latitude,Longitude,Date,RGB_Black,Infrared_Black
32.0889,-96.0613,2022-01-03,True,True
30.0046,-90.4056,2022-01-04,False,True
19.4025,-155.2845,2022-01-04,True,True
19.4079,-155.2807,2022-01-04,True,True
32.8677,-94.9776,2022-01-04,False,True
32.8659,-94.9662,2022-01-04,False,True
31.1336,-93.0106,2022-01-04,True,True
32.0889,-96.0613,2022-01-03,True,True
30.0046,-90.4056,2022-01-04,False,True
19.4025,-155.2845,2022-01-04,True,True
19.4079,-155.2807,2022-01-04,True,True
32.8677,-94.9776,2022-01-04,False,True
32.8659,-94.9662,2022-01-04,False,True
31.1336,-93.0106,2022-01-04,True,True
29.6527,-96.2706,2022-01-05,False,True
32.6447,-94.1861,2022-01-07,False,True
19.4009,-155.2769,2022-01-08,True,True
19.3955,-155.305,2022-01-08,True,True
19.4155,-155.28,2022-01-08,True,True
19.401,-155.2834,2022-01-08,True,True
19.4066,-155.2745,2022-01-08,True,True
19.4096,-155.2914,2022-01-08,True,True
30.4952,-86.835,2022-01-08,False,True
19.4111,-155.2946,2022-01-09,True,True
19.4031,-155.2824,2022-01-09,True,True
19.4017,-155.2931,2022-01-09,True,True
19.4125,-155.2838,2022-01-09,True,True
19.4153,-155.2873,2022-01-09,True,True
19.4137,-155.2923,2022-01-09,True,True
19.4107,-155.2649,2022-01-09,True,True
19.4126,-155.2597,2022-01-09,True,True
36.1902,-96.7552,2022-01-10,True,True
19.4019,-155.2756,2022-01-10,False,True
19.4036,-155.2863,2022-01-10,False,True
19.4114,-155.2739,2022-01-10,False,True
19.4131,-155.2847,2022-01-10,False,True
19.3933,-155.2877,2022-01-10,False,True
19.41,-155.2869,2022-01-11,False,True
19.4114,-155.2774,2022-01-11,False,True
19.4086,-155.2964,2022-01-11,False,True
19.4011,-155.2854,2022-01-11,False,True
19.4092,-155.2832,2022-01-11,False,True
19.4144,-155.2868,2022-01-12,False,True
19.3979,-155.2848,2022-01-12,False,True
19.4199,-155.2879,2022-01-12,False,True
19.4185,-155.2785,2022-01-12,False,True
19.4109,-155.2894,2022-01-12,False,True
19.4096,-155.2799,2022-01-12,False,True
19.4019,-155.2908,2022-01-12,False,True
19.4006,-155.2813,2022-01-12,False,True
19.4029,-155.2992,2022-01-13,True,True
19.405,-155.2863,2022-01-13,True,True
19.4098,-155.2818,2022-01-13,True,True
19.4028,-155.2878,2022-01-13,True,True
30.7917,-87.4857,2022-01-13,False,True
30.802,-87.4882,2022-01-13,False,True
31.1669,-87.4193,2022-01-13,False,True
32.6996,-82.6023,2022-01-13,True,True
19.405,-155.29,2022-01-14,True,True
19.407,-155.2906,2022-01-14,True,True
19.4158,-155.2763,2022-01-14,True,True
19.4054,-155.2778,2022-01-14,True,True
30.7576,-87.6087,2022-01-14,False,True
33.3832,-98.4797,2022-01-15,True,True
33.3932,-98.4813,2022-01-15,True,True
28.1981,-97.158,2022-01-17,True,True
55.4136,-161.8837,2022-01-17,False,True
55.4214,-161.8741,2022-01-18,False,True
55.4233,-161.8898,2022-01-18,False,True
32.2845,-96.5141,2022-01-18,True,True
31.6638,-89.6793,2022-01-18,False,True
