date,latitude,longitude,precipitation,wind_speed,wind_direction,Identifier
20220503,35.9229,-105.4445,0.35,4.34,222.8,35.9229_-105.4445_20220503
20220504,35.9229,-105.4445,0.03,4.4,281.8,35.9229_-105.4445_20220504
20220505,35.9229,-105.4445,0.05,4.06,298.5,35.9229_-105.4445_20220505
20220423,35.7974,-103.813,0.0,8.92,274.6,35.7974_-103.813_20220423
20220424,35.7974,-103.813,0.01,4.98,108.3,35.7974_-103.813_20220424
20220425,35.7974,-103.813,0.15,5.25,124.7,35.7974_-103.813_20220425
20220701,64.2364,-149.6001,0.53,2.15,207.7,64.2364_-149.6001_20220701
20220702,64.2364,-149.6001,1.3,1.41,271.0,64.2364_-149.6001_20220702
20220703,64.2364,-149.6001,1.79,1.23,221.3,64.2364_-149.6001_20220703
20220508,31.7802,-99.2559,0.0,7.58,192.9,31.7802_-99.2559_20220508
20220509,31.7802,-99.2559,0.0,7.42,184.2,31.7802_-99.2559_20220509
20220510,31.7802,-99.2559,0.07,6.89,172.9,31.7802_-99.2559_20220510
20220609,60.8659,-157.2196,0.06,4.39,7.8,60.8659_-157.2196_20220609
20220610,60.8659,-157.2196,0.01,3.64,359.1,60.8659_-157.2196_20220610
20220611,60.8659,-157.2196,0.03,2.28,288.6,60.8659_-157.2196_20220611
20220702,63.6174,-153.1435,0.45,1.4,267.5,63.6174_-153.1435_20220702
20220703,63.6174,-153.1435,2.55,1.2,305.9,63.6174_-153.1435_20220703
20220704,63.6174,-153.1435,5.58,1.09,296.7,63.6174_-153.1435_20220704
20220301,34.2524,-94.7426,0.5,2.21,221.8,34.2524_-94.7426_20220301
20220302,34.2524,-94.7426,0.0,1.98,212.3,34.2524_-94.7426_20220302
20220303,34.2524,-94.7426,0.0,1.84,191.3,34.2524_-94.7426_20220303
20220630,65.0806,-148.3781,0.0,1.12,52.9,65.0806_-148.3781_20220630
20220701,65.0806,-148.3781,0.11,1.43,193.8,65.0806_-148.3781_20220701
20220702,65.0806,-148.3781,1.51,0.76,184.6,65.0806_-148.3781_20220702
20220615,35.4041,-111.5115,0.0,1.59,4.4,35.4041_-111.5115_20220615
20220616,35.4041,-111.5115,0.0,3.88,220.8,35.4041_-111.5115_20220616
20220617,35.4041,-111.5115,0.0,6.42,206.7,35.4041_-111.5115_20220617
20220328,27.0259,-81.2205,0.01,3.02,302.9,27.0259_-81.2205_20220328
20220329,27.0259,-81.2205,0.01,3.44,59.1,27.0259_-81.2205_20220329
20220330,27.0259,-81.2205,0.07,6.25,136.3,27.0259_-81.2205_20220330
20220323,33.4213,-110.8577,0.0,4.1,23.3,33.4213_-110.8577_20220323
20220324,33.4213,-110.8577,0.0,2.89,8.3,33.4213_-110.8577_20220324
20220325,33.4213,-110.8577,0.0,2.85,78.5,33.4213_-110.8577_20220325
20220630,65.0725,-148.3472,0.0,1.12,52.9,65.0725_-148.3472_20220630
20220701,65.0725,-148.3472,0.11,1.43,193.8,65.0725_-148.3472_20220701
20220702,65.0725,-148.3472,1.51,0.76,184.6,65.0725_-148.3472_20220702
20220606,62.3026,-155.352,0.45,1.83,32.7,62.3026_-155.352_20220606
20220607,62.3026,-155.352,0.58,1.14,34.8,62.3026_-155.352_20220607
20220608,62.3026,-155.352,0.06,2.34,37.3,62.3026_-155.352_20220608
20220610,60.6797,-157.0003,0.0,4.71,356.5,60.6797_-157.0003_20220610
20220611,60.6797,-157.0003,0.09,3.14,218.2,60.6797_-157.0003_20220611
20220612,60.6797,-157.0003,1.7,3.35,196.4,60.6797_-157.0003_20220612
20220526,33.1297,-107.8399,0.0,2.52,269.9,33.1297_-107.8399_20220526
20220527,33.1297,-107.8399,0.0,3.46,263.4,33.1297_-107.8399_20220527
20220528,33.1297,-107.8399,0.0,5.1,250.4,33.1297_-107.8399_20220528
20220710,64.0904,-153.7387,0.17,1.92,318.2,64.0904_-153.7387_20220710
20220711,64.0904,-153.7387,0.01,2.06,319.0,64.0904_-153.7387_20220711
20220712,64.0904,-153.7387,0.17,1.6,330.7,64.0904_-153.7387_20220712
