date,latitude,longitude,precipitation,wind_speed,wind_direction
20220503,35.9229,-105.4445,0.35,4.34,222.8
20220504,35.9229,-105.4445,0.03,4.4,281.8
20220505,35.9229,-105.4445,0.05,4.06,298.5
20220423,35.7974,-103.813,0.0,8.92,274.6
20220424,35.7974,-103.813,0.01,4.98,108.3
20220425,35.7974,-103.813,0.15,5.25,124.7
20220701,64.2364,-149.6001,0.53,2.15,207.7
20220702,64.2364,-149.6001,1.3,1.41,271.0
20220703,64.2364,-149.6001,1.79,1.23,221.3
20220508,31.7802,-99.2559,0.0,7.58,192.9
20220509,31.7802,-99.2559,0.0,7.42,184.2
20220510,31.7802,-99.2559,0.07,6.89,172.9
20220609,60.8659,-157.2196,0.06,4.39,7.8
20220610,60.8659,-157.2196,0.01,3.64,359.1
20220611,60.8659,-157.2196,0.03,2.28,288.6
20220702,63.6174,-153.1435,0.45,1.4,267.5
20220703,63.6174,-153.1435,2.55,1.2,305.9
20220704,63.6174,-153.1435,5.58,1.09,296.7
20220301,34.2524,-94.7426,0.5,2.21,221.8
20220302,34.2524,-94.7426,0.0,1.98,212.3
20220303,34.2524,-94.7426,0.0,1.84,191.3
20220630,65.0806,-148.3781,0.0,1.12,52.9
20220701,65.0806,-148.3781,0.11,1.43,193.8
20220702,65.0806,-148.3781,1.51,0.76,184.6
20220615,35.4041,-111.5115,0.0,1.59,4.4
20220616,35.4041,-111.5115,0.0,3.88,220.8
20220617,35.4041,-111.5115,0.0,6.42,206.7
20220328,27.0259,-81.2205,0.01,3.02,302.9
20220329,27.0259,-81.2205,0.01,3.44,59.1
20220330,27.0259,-81.2205,0.07,6.25,136.3
20220323,33.4213,-110.8577,0.0,4.1,23.3
20220324,33.4213,-110.8577,0.0,2.89,8.3
20220325,33.4213,-110.8577,0.0,2.85,78.5
20220630,65.0725,-148.3472,0.0,1.12,52.9
20220701,65.0725,-148.3472,0.11,1.43,193.8
20220702,65.0725,-148.3472,1.51,0.76,184.6
20220606,62.3026,-155.352,0.45,1.83,32.7
20220607,62.3026,-155.352,0.58,1.14,34.8
20220608,62.3026,-155.352,0.06,2.34,37.3
20220610,60.6797,-157.0003,0.0,4.71,356.5
20220611,60.6797,-157.0003,0.09,3.14,218.2
20220612,60.6797,-157.0003,1.7,3.35,196.4
20220526,33.1297,-107.8399,0.0,2.52,269.9
20220527,33.1297,-107.8399,0.0,3.46,263.4
20220528,33.1297,-107.8399,0.0,5.1,250.4
20220710,64.0904,-153.7387,0.17,1.92,318.2
20220711,64.0904,-153.7387,0.01,2.06,319.0
20220712,64.0904,-153.7387,0.17,1.6,330.7
20220701,63.7104,-153.2204,0.0,1.78,187.2
20220702,63.7104,-153.2204,0.45,1.4,267.5
20220703,63.7104,-153.2204,2.55,1.2,305.9
20220610,61.5463,-157.9373,0.04,3.57,359.2
20220611,61.5463,-157.9373,0.01,2.83,299.5
20220612,61.5463,-157.9373,3.1,2.3,220.3
20220122,19.3982,-155.2831,0.17,4.49,33.9
20220123,19.3982,-155.2831,0.38,5.21,44.0
20220124,19.3982,-155.2831,0.03,5.68,37.7
20220623,66.0404,-142.8446,5.6,1.36,266.3
20220624,66.0404,-142.8446,0.27,1.59,247.4
20220625,66.0404,-142.8446,0.08,1.2,255.9
20220612,59.9614,-156.0179,0.65,4.24,201.8
20220613,59.9614,-156.0179,5.55,2.54,174.0
20220614,59.9614,-156.0179,1.05,1.86,107.7
20220609,60.703,-157.0229,0.16,4.45,6.7
20220610,60.703,-157.0229,0.0,4.71,356.5
20220611,60.703,-157.0229,0.09,3.14,218.2
20220512,36.0621,-105.4723,0.1,4.96,273.6
20220513,36.0621,-105.4723,0.12,3.5,287.8
20220514,36.0621,-105.4723,0.09,3.09,296.2
20220702,65.7714,-143.0538,1.14,1.22,142.8
20220703,65.7714,-143.0538,0.55,0.86,158.2
20220704,65.7714,-143.0538,1.93,0.96,250.2
20220613,35.2897,-111.5609,0.0,9.5,226.8
20220614,35.2897,-111.5609,0.0,4.51,255.6
20220615,35.2897,-111.5609,0.0,1.59,4.4
20220613,35.3256,-111.6339,0.0,9.26,226.1
20220614,35.3256,-111.6339,0.0,4.39,246.6
20220615,35.3256,-111.6339,0.0,2.48,259.6
20220522,19.414,-155.2799,0.04,4.98,74.2
20220523,19.414,-155.2799,0.41,4.76,94.7
20220524,19.414,-155.2799,0.16,4.53,88.7
20220125,19.4046,-155.2946,0.08,5.11,48.7
20220126,19.4046,-155.2946,0.01,4.14,67.1
20220127,19.4046,-155.2946,0.04,2.92,104.3
20220423,35.8256,-105.2824,0.0,7.64,282.3
20220424,35.8256,-105.2824,0.25,3.26,179.7
20220425,35.8256,-105.2824,1.43,3.43,183.3
20220609,61.5364,-155.8072,0.29,2.47,7.5
20220610,61.5364,-155.8072,0.05,2.2,359.5
20220611,61.5364,-155.8072,0.96,1.57,194.7
20220628,46.135,-118.5963,0.0,6.4,242.8
20220629,46.135,-118.5963,0.0,3.28,244.9
20220630,46.135,-118.5963,0.0,2.02,249.2
20220430,35.7131,-106.506,0.04,3.3,297.2
20220501,35.7131,-106.506,0.01,5.74,214.4
20220502,35.7131,-106.506,0.07,4.88,287.2
20220702,65.7689,-143.089,1.14,1.22,142.8
20220703,65.7689,-143.089,0.55,0.86,158.2
20220704,65.7689,-143.089,1.93,0.96,250.2
20220612,59.9276,-156.2581,0.65,4.24,201.8
20220613,59.9276,-156.2581,5.55,2.54,174.0
20220614,59.9276,-156.2581,1.05,1.86,107.7
20220512,36.0885,-105.2408,0.06,5.37,268.9
20220513,36.0885,-105.2408,0.0,3.68,279.7
20220514,36.0885,-105.2408,0.06,2.88,289.5
20220710,64.1545,-155.8791,0.12,1.67,325.4
20220711,64.1545,-155.8791,0.02,1.76,324.8
20220712,64.1545,-155.8791,0.67,1.55,340.1
20220610,61.2041,-159.2967,0.04,3.73,352.3
20220611,61.2041,-159.2967,0.01,2.93,292.9
20220612,61.2041,-159.2967,6.55,2.82,229.1
20220518,33.8855,-99.3221,0.01,3.59,201.3
20220519,33.8855,-99.3221,0.0,4.96,195.3
20220520,33.8855,-99.3221,0.0,6.98,300.6
20220724,37.5596,-119.8327,0.0,2.04,263.8
20220725,37.5596,-119.8327,0.02,1.98,247.6
20220726,37.5596,-119.8327,0.1,1.88,269.0
20220723,37.5234,-119.849,0.0,1.88,269.1
20220724,37.5234,-119.849,0.0,2.04,263.8
20220725,37.5234,-119.849,0.02,1.98,247.6
20220609,63.2725,-154.7436,0.0,2.4,24.3
20220610,63.2725,-154.7436,0.21,1.69,357.1
20220611,63.2725,-154.7436,0.02,1.52,288.5
20220609,61.4132,-155.0618,0.44,2.08,18.5
20220610,61.4132,-155.0618,0.11,2.06,10.0
20220611,61.4132,-155.0618,1.75,2.28,182.8
20220507,35.6954,-106.5021,0.0,5.23,281.4
20220508,35.6954,-106.5021,0.0,7.2,250.2
20220509,35.6954,-106.5021,0.0,6.82,257.5
20220616,35.4019,-111.5074,0.0,3.88,220.8
20220617,35.4019,-111.5074,0.0,6.42,206.7
20220618,35.4019,-111.5074,0.38,6.91,199.3
20220621,37.5018,-112.3601,0.0,4.03,120.0
20220622,37.5018,-112.3601,0.4,1.83,5.2
20220623,37.5018,-112.3601,0.6,3.4,222.5
20220614,33.642,-109.3904,0.0,4.13,256.6
20220615,33.642,-109.3904,0.0,2.98,250.3
20220616,33.642,-109.3904,0.01,3.22,175.7
20220612,59.9736,-156.0103,0.65,4.24,201.8
20220613,59.9736,-156.0103,5.55,2.54,174.0
20220614,59.9736,-156.0103,1.05,1.86,107.7
20220430,35.7263,-106.5057,0.04,3.3,297.2
20220501,35.7263,-106.5057,0.01,5.74,214.4
20220502,35.7263,-106.5057,0.07,4.88,287.2
20220502,35.6367,-105.2976,0.0,5.96,278.7
