date,latitude,longitude,precipitation,wind_speed,wind_direction
20230801,34.148,-99.784,0.0,5.85,179.7
20230802,34.148,-99.784,0.0,5.64,188.2
20230803,34.148,-99.784,0.0,5.93,188.4
20230804,34.148,-99.784,0.1,3.95,183.1
20230805,34.148,-99.784,0.0,5.04,170.8
20230806,34.148,-99.784,0.15,3.33,151.5
20230807,34.148,-99.784,1.0,4.04,68.9
20230808,34.148,-99.784,0.38,3.79,175.6
20230809,34.148,-99.784,0.72,5.58,293.6
20230810,34.148,-99.784,0.58,2.55,118.4
20230811,34.148,-99.784,1.29,5.53,191.6
20230812,34.148,-99.784,4.47,5.38,186.8
20230813,34.148,-99.784,0.26,4.62,192.2
20230814,34.148,-99.784,0.29,5.85,28.1
20230815,34.148,-99.784,0.0,2.38,84.3
20230816,34.148,-99.784,0.0,4.73,169.9
20230817,34.148,-99.784,0.0,3.52,207.2
20230818,34.148,-99.784,0.02,3.94,195.7
20230819,34.148,-99.784,0.0,4.65,187.5
20230820,34.148,-99.784,0.0,3.57,151.8
20230821,34.148,-99.784,0.0,4.41,103.6
20230822,34.148,-99.784,0.0,4.02,106.3
20230823,34.148,-99.784,0.0,3.73,150.3
20230824,34.148,-99.784,0.0,3.98,187.6
20230825,34.148,-99.784,0.0,3.14,200.4
20230826,34.148,-99.784,0.0,4.44,4.2
20230827,34.148,-99.784,2.09,4.23,6.2
20230828,34.148,-99.784,0.01,3.76,50.2
20230829,34.148,-99.784,0.01,3.43,27.9
20230830,34.148,-99.784,0.01,3.26,23.0
20250101,34.205,-118.088,0.01,2.27,51.1
20250102,34.205,-118.088,0.0,2.52,93.8
20250103,34.205,-118.088,0.01,1.81,161.8
20250104,34.205,-118.088,0.0,2.64,16.8
20250105,34.205,-118.088,0.0,3.02,31.7
20250106,34.205,-118.088,0.0,2.34,349.8
20250107,34.205,-118.088,0.2,8.54,28.9
20250108,34.205,-118.088,0.43,8.63,35.7
20250109,34.205,-118.088,0.0,4.68,35.9
20250110,34.205,-118.088,0.0,2.51,10.0
20250111,34.205,-118.088,0.0,3.8,40.4
20250112,34.205,-118.088,0.0,4.22,37.2
20250113,34.205,-118.088,0.0,4.86,55.5
20250114,34.205,-118.088,0.0,3.82,43.1
20250115,34.205,-118.088,0.0,4.13,62.8
20250116,34.205,-118.088,0.0,3.05,158.9
20250117,34.205,-118.088,0.0,2.28,233.9
20250118,34.205,-118.088,0.0,1.3,117.5
20250119,34.205,-118.088,0.0,1.89,263.3
20250120,34.205,-118.088,0.0,5.12,45.6
20250121,34.205,-118.088,0.0,4.07,44.3
20250122,34.205,-118.088,0.0,4.9,51.4
20250123,34.205,-118.088,0.0,5.07,60.2
20250124,34.205,-118.088,0.0,2.84,99.7
20250125,34.205,-118.088,3.13,4.16,185.8
20250126,34.205,-118.088,11.76,2.62,175.1
20250127,34.205,-118.088,2.89,1.75,357.0
20250128,34.205,-118.088,0.01,2.57,33.3
20250129,34.205,-118.088,0.04,2.16,253.7
20250130,34.205,-118.088,0.44,1.47,222.8
20250101,34.07,-118.54,0.01,2.78,17.2
20250102,34.07,-118.54,0.0,3.17,62.1
20250103,34.07,-118.54,0.03,1.61,208.8
20250104,34.07,-118.54,0.0,3.92,2.1
20250105,34.07,-118.54,0.0,3.87,14.7
20250106,34.07,-118.54,0.0,3.4,355.1
20250107,34.07,-118.54,0.01,8.78,20.4
20250108,34.07,-118.54,0.02,8.78,32.6
20250109,34.07,-118.54,0.0,3.85,39.1
20250110,34.07,-118.54,0.0,3.34,339.8
20250111,34.07,-118.54,0.0,3.54,24.9
20250112,34.07,-118.54,0.0,4.34,28.1
20250113,34.07,-118.54,0.0,4.83,56.9
20250114,34.07,-118.54,0.0,3.75,22.9
20250115,34.07,-118.54,0.0,4.02,51.7
20250116,34.07,-118.54,0.0,3.27,213.5
20250117,34.07,-118.54,0.0,2.39,221.7
20250118,34.07,-118.54,0.0,1.51,185.2
20250119,34.07,-118.54,0.0,2.04,252.2
20250120,34.07,-118.54,0.0,5.2,45.3
20250121,34.07,-118.54,0.0,4.89,28.1
20250122,34.07,-118.54,0.0,5.3,37.1
20250123,34.07,-118.54,0.0,4.74,52.0
20250124,34.07,-118.54,0.0,2.96,72.9
20250125,34.07,-118.54,3.39,3.34,203.1
20250126,34.07,-118.54,13.53,2.94,168.5
20250127,34.07,-118.54,1.99,2.87,0.6
20250128,34.07,-118.54,0.05,2.96,345.6
20250129,34.07,-118.54,0.12,2.81,249.0
20250130,34.07,-118.54,1.23,1.83,216.5
