latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.4097,-155.2743,391.9,1.4,1.2,2022-01-01,1224,Aqua,MODIS,100,6.03,299.7,340.6,N,1
19.417,-155.2799,333.2,1.4,1.2,2022-01-01,1224,Aqua,MODIS,100,6.03,290.1,57.4,N,1
19.4119,-155.2876,420.5,1.4,1.2,2022-01-01,1224,Aqua,MODIS,100,6.03,298.8,651.8,N,1
19.3988,-155.2884,406.9,2.3,1.5,2022-01-01,2318,Aqua,MODIS,100,6.03,300.1,968.6,D,1
19.4153,-155.2803,343.7,1.0,1.0,2022-01-02,836,Terra,MODIS,100,6.03,287.7,51.9,N,1
19.414,-155.2898,346.2,1.0,1.0,2022-01-02,836,Terra,MODIS,100,6.03,286.8,56.6,N,1
19.4064,-155.2789,383.1,1.0,1.0,2022-01-02,836,Terra,MODIS,100,6.03,296.2,170.2,N,1
19.4051,-155.2884,401.2,1.0,1.0,2022-01-02,836,Terra,MODIS,100,6.03,296.6,265.5,N,1
32.0889,-96.0613,365.9,1.2,1.1,2022-01-03,1951,Aqua,MODIS,100,6.03,296.4,129.5,D,0
30.0046,-90.4056,322.7,1.0,1.0,2022-01-04,755,Aqua,MODIS,100,6.03,278.9,24.7,N,2
19.4025,-155.2845,320.1,1.1,1.1,2022-01-04,823,Terra,MODIS,100,6.03,293.3,24.6,N,1
19.4079,-155.2807,323.9,1.1,1.1,2022-01-04,823,Terra,MODIS,100,6.03,294.7,29.4,N,1
32.8677,-94.9776,375.2,1.1,1.0,2022-01-04,1713,Terra,MODIS,100,6.03,289.6,154.1,D,0
32.8659,-94.9662,374.1,1.1,1.0,2022-01-04,1713,Terra,MODIS,100,6.03,288.4,149.8,D,0
31.1336,-93.0106,367.9,2.4,1.5,2022-01-04,1856,Aqua,MODIS,100,6.03,293.1,401.0,D,0
30.0008,-90.4072,326.1,1.1,1.0,2022-01-05,413,Terra,MODIS,100,6.03,284.3,30.4,N,2
26.9946,-97.7488,360.0,4.5,2.0,2022-01-05,1757,Terra,MODIS,100,6.03,299.6,723.5,D,0
26.9916,-97.7637,383.1,1.2,1.1,2022-01-05,1937,Aqua,MODIS,100,6.03,308.1,214.9,D,0
26.9895,-97.7758,361.9,1.2,1.1,2022-01-05,1937,Aqua,MODIS,100,6.03,308.3,113.9,D,0
29.6527,-96.2706,377.0,1.0,1.0,2022-01-05,1938,Aqua,MODIS,100,6.03,303.7,141.5,D,0
31.8496,-101.7996,348.3,1.1,1.0,2022-01-06,457,Terra,MODIS,100,6.03,279.5,68.7,N,0
31.8481,-101.8106,324.1,1.1,1.0,2022-01-06,457,Terra,MODIS,100,6.03,275.6,29.1,N,0
19.4025,-155.2986,345.5,1.8,1.3,2022-01-06,811,Terra,MODIS,100,6.03,287.3,128.9,N,1
19.4053,-155.2823,418.3,1.8,1.3,2022-01-06,811,Terra,MODIS,100,6.03,302.2,897.0,N,1
19.4068,-155.2649,349.9,3.0,1.7,2022-01-06,1242,Aqua,MODIS,100,6.03,289.1,322.5,N,1
19.4123,-155.2934,361.6,3.0,1.6,2022-01-06,1242,Aqua,MODIS,100,6.03,287.1,461.6,N,1
19.4076,-155.2596,334.5,3.0,1.7,2022-01-06,1242,Aqua,MODIS,100,6.03,286.8,187.2,N,1
19.4133,-155.2877,374.0,3.0,1.6,2022-01-06,1242,Aqua,MODIS,100,6.03,289.6,657.2,N,1
27.6348,-81.2938,385.4,1.0,1.0,2022-01-06,1842,Aqua,MODIS,100,6.03,299.0,174.1,D,0
27.6437,-81.2955,378.1,1.0,1.0,2022-01-06,1842,Aqua,MODIS,100,6.03,294.7,142.7,D,0
32.0433,-81.6596,381.2,1.0,1.0,2022-01-06,1843,Aqua,MODIS,100,6.03,298.4,157.3,D,0
19.4104,-155.2805,380.7,3.0,1.7,2022-01-06,2022,Terra,MODIS,100,6.03,304.7,765.7,D,1
19.4103,-155.2865,369.8,3.0,1.7,2022-01-06,2022,Terra,MODIS,100,6.03,304.1,554.1,D,1
32.6447,-94.1861,382.4,1.0,1.0,2022-01-07,1927,Aqua,MODIS,100,6.03,291.0,172.6,D,0
19.4009,-155.2769,374.3,3.0,1.7,2022-01-08,759,Terra,MODIS,100,6.03,289.6,668.8,N,1
19.3955,-155.305,333.2,3.0,1.7,2022-01-08,759,Terra,MODIS,100,6.03,285.1,178.4,N,1
19.4155,-155.28,338.5,3.0,1.7,2022-01-08,759,Terra,MODIS,100,6.03,286.7,216.2,N,1
19.401,-155.2834,384.0,3.0,1.7,2022-01-08,759,Terra,MODIS,100,6.03,290.2,865.8,N,1
19.4066,-155.2745,411.5,1.8,1.3,2022-01-08,1230,Aqua,MODIS,100,6.03,303.0,766.3,N,1
19.4096,-155.2914,412.9,1.8,1.3,2022-01-08,1230,Aqua,MODIS,100,6.03,297.3,788.4,N,1
30.4952,-86.835,370.2,2.5,1.5,2022-01-08,1831,Aqua,MODIS,100,6.03,291.0,447.7,D,0
19.4111,-155.2946,329.9,1.1,1.1,2022-01-09,842,Terra,MODIS,100,6.03,287.0,35.9,N,1
19.4031,-155.2824,337.0,1.1,1.1,2022-01-09,842,Terra,MODIS,100,6.03,285.8,47.4,N,1
19.4017,-155.2931,340.1,1.1,1.1,2022-01-09,842,Terra,MODIS,100,6.03,287.8,53.5,N,1
19.4125,-155.2838,341.9,1.1,1.1,2022-01-09,842,Terra,MODIS,100,6.03,288.7,57.2,N,1
19.4153,-155.2873,363.7,3.0,1.6,2022-01-09,1135,Aqua,MODIS,100,6.03,288.0,486.8,N,1
19.4137,-155.2923,343.6,3.0,1.6,2022-01-09,1135,Aqua,MODIS,100,6.03,285.7,256.1,N,1
19.4107,-155.2649,356.9,3.0,1.6,2022-01-09,1135,Aqua,MODIS,100,6.03,292.4,393.5,N,1
19.4126,-155.2597,358.4,3.0,1.6,2022-01-09,1135,Aqua,MODIS,100,6.03,289.9,411.9,N,1
36.1902,-96.7552,323.8,1.1,1.0,2022-01-10,433,Terra,MODIS,100,6.03,266.1,29.5,N,0
19.4019,-155.2756,337.6,1.1,1.1,2022-01-10,1218,Aqua,MODIS,100,6.03,291.8,48.9,N,1
19.4036,-155.2863,387.1,1.1,1.1,2022-01-10,1218,Aqua,MODIS,100,6.03,297.7,225.0,N,1
19.4114,-155.2739,380.0,1.1,1.1,2022-01-10,1218,Aqua,MODIS,100,6.03,301.6,187.8,N,1
19.4131,-155.2847,444.8,1.1,1.1,2022-01-10,1218,Aqua,MODIS,100,6.03,308.2,785.7,N,1
19.3933,-155.2877,363.2,3.0,1.6,2022-01-10,2312,Aqua,MODIS,100,6.03,295.8,438.8,D,1
19.41,-155.2869,414.3,1.0,1.0,2022-01-11,829,Terra,MODIS,100,6.03,296.1,361.0,N,1
19.4114,-155.2774,340.5,1.0,1.0,2022-01-11,829,Terra,MODIS,100,6.03,288.2,46.6,N,1
19.4086,-155.2964,326.4,1.0,1.0,2022-01-11,829,Terra,MODIS,100,6.03,286.7,26.0,N,1
19.4011,-155.2854,389.4,1.0,1.0,2022-01-11,829,Terra,MODIS,100,6.03,302.5,202.7,N,1
19.4092,-155.2832,385.2,1.4,1.2,2022-01-11,2040,Terra,MODIS,100,6.03,320.4,273.3,D,1
19.4144,-155.2868,344.4,3.9,1.8,2022-01-12,912,Terra,MODIS,100,6.03,287.9,380.1,N,1
19.3979,-155.2848,333.3,3.9,1.8,2022-01-12,912,Terra,MODIS,100,6.03,288.0,255.3,N,1
19.4199,-155.2879,325.9,1.0,1.0,2022-01-12,1206,Aqua,MODIS,100,6.03,284.2,25.9,N,1
19.4185,-155.2785,334.6,1.0,1.0,2022-01-12,1206,Aqua,MODIS,100,6.03,289.1,37.1,N,1
19.4109,-155.2894,466.1,1.0,1.0,2022-01-12,1206,Aqua,MODIS,100,6.03,306.2,961.8,N,1
19.4096,-155.2799,503.3,1.0,1.0,2022-01-12,1206,Aqua,MODIS,100,6.03,400.1,1717.4,N,1
19.4019,-155.2908,322.0,1.0,1.0,2022-01-12,1206,Aqua,MODIS,100,6.03,286.0,20.8,N,1
19.4006,-155.2813,334.7,1.0,1.0,2022-01-12,1206,Aqua,MODIS,100,6.03,292.4,36.3,N,1
19.4029,-155.2992,322.3,1.4,1.2,2022-01-13,817,Terra,MODIS,100,6.03,282.3,36.4,N,1
19.405,-155.2863,374.3,1.4,1.2,2022-01-13,817,Terra,MODIS,100,6.03,287.9,219.9,N,1
19.4098,-155.2818,371.6,3.9,1.8,2022-01-13,1248,Aqua,MODIS,100,6.03,290.5,891.1,N,1
19.4028,-155.2878,336.7,3.9,1.8,2022-01-13,1248,Aqua,MODIS,100,6.03,286.9,292.9,N,1
28.8392,-82.4304,364.7,1.0,1.0,2022-01-13,1848,Aqua,MODIS,100,6.03,298.4,97.0,D,0
30.7917,-87.4857,373.3,1.4,1.2,2022-01-13,1849,Aqua,MODIS,100,6.03,296.5,202.6,D,0
30.802,-87.4882,370.7,1.4,1.2,2022-01-13,1849,Aqua,MODIS,100,6.03,295.6,190.2,D,0
31.1669,-87.4193,367.0,1.4,1.2,2022-01-13,1849,Aqua,MODIS,100,6.03,295.9,165.4,D,0
32.6996,-82.6023,414.2,1.0,1.0,2022-01-13,1849,Aqua,MODIS,100,6.03,302.4,361.7,D,0
29.9354,-84.787,360.9,1.1,1.0,2022-01-13,1849,Aqua,MODIS,100,6.03,295.1,94.8,D,0
29.9545,-84.7751,368.3,1.1,1.0,2022-01-13,1849,Aqua,MODIS,100,6.03,293.4,116.9,D,0
29.9528,-84.786,376.9,1.1,1.0,2022-01-13,1849,Aqua,MODIS,100,6.03,297.7,150.7,D,0
29.962,-84.788,373.4,1.1,1.0,2022-01-13,1849,Aqua,MODIS,100,6.03,296.2,136.4,D,0
19.405,-155.29,391.8,2.3,1.5,2022-01-14,900,Terra,MODIS,100,6.03,297.1,692.1,N,1
