date,latitude,longitude,precipitation,wind_speed,wind_direction
20220710,27.044,-98.309,0.0,4.18,143.3
20220713,27.044,-98.309,1.69,4.78,129.1
20220710,27.052,-98.322,0.0,4.18,143.3
20220713,27.052,-98.322,1.69,4.78,129.1
20220625,30.2,-95.206,0.01,2.83,189.5
20220627,30.2,-95.206,1.43,2.32,28.9
20220610,32.989,-107.894,0.74,2.28,263.9
20220615,32.989,-107.894,0.0,2.93,258.4
20220613,35.365,-111.433,0.0,9.5,226.8
20220616,35.365,-111.433,0.0,3.88,220.8
20220616,35.416,-111.501,0.0,3.88,220.8
20220621,35.416,-111.501,0.0,3.74,212.7
20220513,35.561,-105.473,0.01,4.52,296.3
20220518,35.561,-105.473,0.0,3.52,262.8
20220513,35.838,-105.49,0.12,3.5,287.8
20220523,35.838,-105.49,0.52,3.37,259.5
20220710,37.499,-119.626,0.0,2.43,256.9
20220715,37.499,-119.626,0.38,2.58,215.6
20220710,37.521,-119.627,0.0,2.43,256.9
20220715,37.521,-119.627,0.38,2.58,215.6
20220715,37.525,-119.529,0.38,2.58,215.6
20220720,37.525,-119.529,0.06,2.48,261.5
20220725,37.545,-119.811,0.02,1.98,247.6
20220730,37.545,-119.811,0.05,2.17,246.6
20220719,38.134,-102.84,1.22,3.61,0.9
20220722,38.134,-102.84,0.0,4.02,168.4
20220705,38.33,-120.645,0.0,2.59,261.1
20220708,38.33,-120.645,0.0,2.89,216.5
20220705,38.345,-120.662,0.0,2.59,261.1
20220710,38.345,-120.662,0.0,2.42,288.6
20220709,39.93,-114.583,0.0,5.8,225.5
20220714,39.93,-114.583,0.54,3.12,187.5
20220711,40.397,-112.283,0.0,3.28,346.7
20220716,40.397,-112.283,0.01,1.89,91.5
20220704,63.447,-141.963,1.29,1.19,37.4
20220707,63.447,-141.963,0.38,2.04,216.6
20220708,64.192,-149.426,0.7,1.94,175.0
20220714,64.192,-149.426,0.53,2.28,279.7
20220708,64.221,-149.313,0.7,1.94,175.0
20220714,64.221,-149.313,0.53,2.28,279.7
