date,latitude,longitude,precipitation,wind_speed,wind_direction
20220101,19.405,-155.285,25.71,3.89,137.1
20220102,19.405,-155.285,4.93,3.35,146.4
20220103,19.405,-155.285,1.52,2.9,154.7
20220104,19.405,-155.285,0.87,2.01,164.8
20220105,19.405,-155.285,1.22,3.17,22.1
20220106,19.405,-155.285,5.79,3.82,29.4
20220107,19.405,-155.285,0.99,3.08,28.7
20220108,19.405,-155.285,0.18,3.36,45.9
20220109,19.405,-155.285,0.06,2.97,139.8
20220110,19.405,-155.285,0.09,3.31,201.5
20220111,19.405,-155.285,0.11,3.67,43.5
20220112,19.405,-155.285,4.59,3.51,84.1
20220113,19.405,-155.285,0.7,3.88,102.1
20220114,19.405,-155.285,7.38,4.13,116.3
20220115,19.405,-155.285,0.66,3.33,124.5
20220116,19.405,-155.285,0.62,2.79,119.1
20220117,19.405,-155.285,0.12,3.46,111.2
20220118,19.405,-155.285,0.04,4.12,113.5
20220119,19.405,-155.285,0.04,3.55,107.4
20220120,19.405,-155.285,0.24,4.06,111.7
20220121,19.405,-155.285,0.01,4.55,44.3
20220122,19.405,-155.285,0.17,4.49,33.9
20220123,19.405,-155.285,0.38,5.21,44.0
20220124,19.405,-155.285,0.03,5.68,37.7
20220125,19.405,-155.285,0.08,5.11,48.7
20220126,19.405,-155.285,0.01,4.14,67.1
20220127,19.405,-155.285,0.04,2.92,104.3
20220128,19.405,-155.285,0.03,2.93,108.1
20220129,19.405,-155.285,0.04,4.22,66.0
20220130,19.405,-155.285,0.52,5.01,70.7
20220131,19.405,-155.285,4.06,4.03,88.0
20220201,19.405,-155.285,0.19,4.09,76.7
20220202,19.405,-155.285,0.08,3.22,82.5
20220203,19.405,-155.285,0.05,3.19,81.1
20220204,19.405,-155.285,5.31,2.87,95.9
20220205,19.405,-155.285,2.98,5.2,67.3
20220206,19.405,-155.285,5.59,5.89,57.8
20220207,19.405,-155.285,0.53,5.28,59.8
20220208,19.405,-155.285,0.09,4.33,72.5
20220209,19.405,-155.285,0.02,4.16,76.7
20220210,19.405,-155.285,0.99,3.26,89.2
20220211,19.405,-155.285,0.42,2.99,95.1
20220212,19.405,-155.285,0.23,3.79,66.7
20220213,19.405,-155.285,0.15,3.88,38.7
20220214,19.405,-155.285,0.4,3.05,79.3
20220215,19.405,-155.285,2.46,4.23,78.2
20220216,19.405,-155.285,1.02,4.81,56.6
20220217,19.405,-155.285,14.87,5.31,92.7
20220218,19.405,-155.285,18.34,3.96,110.4
20220219,19.405,-155.285,2.39,3.63,99.7
20220220,19.405,-155.285,1.29,3.81,92.3
20220221,19.405,-155.285,0.96,4.53,75.4
20220222,19.405,-155.285,0.6,4.78,64.5
20220223,19.405,-155.285,0.37,5.06,73.3
20220224,19.405,-155.285,0.17,4.46,84.7
20220225,19.405,-155.285,3.04,4.58,76.1
20220226,19.405,-155.285,1.3,4.17,91.2
20220227,19.405,-155.285,0.36,3.11,111.8
20220228,19.405,-155.285,0.09,3.13,111.7
20220301,19.405,-155.285,0.09,2.89,117.6
20220302,19.405,-155.285,2.21,2.87,117.3
20220303,19.405,-155.285,0.89,1.83,52.3
20220304,19.405,-155.285,0.19,2.3,51.6
20220305,19.405,-155.285,0.38,3.62,62.2
20220306,19.405,-155.285,0.17,3.84,85.6
20220307,19.405,-155.285,0.06,3.62,89.0
20220308,19.405,-155.285,5.34,3.4,90.8
20220309,19.405,-155.285,3.61,3.51,105.2
20220310,19.405,-155.285,0.28,4.15,103.4
20220311,19.405,-155.285,0.12,4.94,79.5
20220312,19.405,-155.285,0.06,4.96,73.4
20220313,19.405,-155.285,0.03,4.25,73.6
20220314,19.405,-155.285,0.02,4.14,86.6
20220315,19.405,-155.285,2.26,4.18,104.4
20220316,19.405,-155.285,0.66,4.47,91.9
20220317,19.405,-155.285,0.09,4.58,71.4
20220318,19.405,-155.285,0.14,5.49,71.3
20220319,19.405,-155.285,2.47,5.32,87.3
20220320,19.405,-155.285,1.72,4.48,103.9
20220321,19.405,-155.285,0.34,3.92,103.3
20220322,19.405,-155.285,1.67,5.46,66.5
20220323,19.405,-155.285,4.35,6.18,61.1
20220324,19.405,-155.285,5.91,6.48,44.9
20220325,19.405,-155.285,2.89,5.49,45.9
20220326,19.405,-155.285,1.31,5.01,49.5
20220327,19.405,-155.285,0.6,4.03,78.4
20220328,19.405,-155.285,3.14,4.14,112.2
20220329,19.405,-155.285,6.67,4.08,111.9
20220330,19.405,-155.285,6.14,4.53,107.7
20220331,19.405,-155.285,44.47,4.78,63.1
20220401,19.405,-155.285,6.42,6.35,55.0
20220402,19.405,-155.285,3.86,7.39,62.9
20220403,19.405,-155.285,1.98,7.02,72.7
20220404,19.405,-155.285,3.81,5.65,75.9
20220405,19.405,-155.285,6.81,4.15,89.6
20220406,19.405,-155.285,3.44,4.93,77.6
20220407,19.405,-155.285,0.61,6.71,72.1
20220408,19.405,-155.285,14.4,6.12,81.8
20220409,19.405,-155.285,13.37,5.63,85.7
20220410,19.405,-155.285,16.23,5.54,84.9
20220411,19.405,-155.285,4.48,5.19,82.9
20220412,19.405,-155.285,0.37,5.68,80.3
20220413,19.405,-155.285,0.01,5.23,80.9
20220414,19.405,-155.285,0.02,5.84,71.4
20220415,19.405,-155.285,9.27,5.48,52.2
20220416,19.405,-155.285,29.78,5.65,83.5
20220417,19.405,-155.285,2.74,3.72,57.3
20220418,19.405,-155.285,0.32,5.67,48.6
20220419,19.405,-155.285,2.29,5.84,52.8
20220420,19.405,-155.285,2.71,6.01,71.9
20220421,19.405,-155.285,0.35,5.25,75.9
20220422,19.405,-155.285,1.07,5.81,79.5
20220423,19.405,-155.285,4.95,5.38,79.6
20220424,19.405,-155.285,1.69,6.35,70.4
20220425,19.405,-155.285,1.02,5.71,67.5
20220426,19.405,-155.285,0.99,5.7,70.1
20220427,19.405,-155.285,3.49,4.57,81.9
20220428,19.405,-155.285,0.87,5.42,89.4
20220429,19.405,-155.285,6.49,5.89,82.6
20220430,19.405,-155.285,9.96,5.75,73.2
20220501,19.405,-155.285,40.46,6.47,78.1
20220502,19.405,-155.285,8.8,5.78,84.1
20220503,19.405,-155.285,7.76,6.16,81.6
20220504,19.405,-155.285,0.95,5.41,79.4
20220505,19.405,-155.285,0.62,5.33,83.8
20220506,19.405,-155.285,2.64,6.19,66.3
20220507,19.405,-155.285,0.63,6.21,69.5
20220508,19.405,-155.285,5.41,5.31,80.1
20220509,19.405,-155.285,3.76,4.87,75.7
20220510,19.405,-155.285,2.32,5.75,77.6
20220511,19.405,-155.285,0.04,5.42,84.1
20220512,19.405,-155.285,0.04,5.37,84.4
20220513,19.405,-155.285,0.02,5.26,85.9
20220514,19.405,-155.285,0.19,5.42,80.0
20220515,19.405,-155.285,0.1,5.07,93.4
20220516,19.405,-155.285,0.74,4.86,106.3
20220517,19.405,-155.285,0.25,4.52,134.3
20220518,19.405,-155.285,0.33,4.17,156.7
20220519,19.405,-155.285,0.75,4.66,142.3
20220520,19.405,-155.285,0.15,3.78,124.8
20220521,19.405,-155.285,0.05,4.2,77.5
20220522,19.405,-155.285,0.04,4.98,74.2
20220523,19.405,-155.285,0.41,4.76,94.7
20220524,19.405,-155.285,0.16,4.53,88.7
20220525,19.405,-155.285,0.23,5.21,56.1
20220526,19.405,-155.285,0.23,4.64,64.8
20220527,19.405,-155.285,0.77,4.61,86.1
20220528,19.405,-155.285,0.55,4.86,90.0
20220529,19.405,-155.285,0.63,4.32,91.9
20220530,19.405,-155.285,0.6,3.48,97.5
20220531,19.405,-155.285,1.31,4.33,78.7
20220601,19.405,-155.285,0.17,3.7,82.8
20220602,19.405,-155.285,3.21,3.54,80.8
20220603,19.405,-155.285,2.67,3.91,59.5
20220604,19.405,-155.285,1.54,3.86,87.0
20220605,19.405,-155.285,0.19,4.29,93.1
20220606,19.405,-155.285,0.04,4.26,96.1
20220607,19.405,-155.285,0.03,4.55,92.2
20220608,19.405,-155.285,0.03,4.27,91.0
20220609,19.405,-155.285,0.06,4.93,85.0
20220610,19.405,-155.285,0.12,4.42,80.9
20220611,19.405,-155.285,2.14,5.3,71.9
20220612,19.405,-155.285,0.38,4.99,69.6
20220613,19.405,-155.285,0.05,5.33,62.2
20220614,19.405,-155.285,0.05,5.99,50.6
20220615,19.405,-155.285,4.85,4.76,60.6
20220616,19.405,-155.285,0.5,4.89,84.0
20220617,19.405,-155.285,9.32,5.66,93.9
20220618,19.405,-155.285,1.11,5.33,94.5
20220619,19.405,-155.285,0.33,4.86,89.6
20220620,19.405,-155.285,0.56,5.45,95.2
20220621,19.405,-155.285,15.74,4.74,83.4
20220622,19.405,-155.285,2.65,5.28,68.9
20220623,19.405,-155.285,5.15,4.77,75.6
20220624,19.405,-155.285,17.47,4.1,73.3
20220625,19.405,-155.285,4.3,3.65,112.7
20220626,19.405,-155.285,1.71,3.97,113.3
20220627,19.405,-155.285,2.91,5.3,80.7
20220628,19.405,-155.285,0.28,5.69,76.5
20220629,19.405,-155.285,0.07,5.95,76.6
20220630,19.405,-155.285,0.15,4.99,75.9
20220701,19.405,-155.285,0.16,6.76,62.6
20220702,19.405,-155.285,8.15,6.74,72.3
20220703,19.405,-155.285,1.48,6.3,70.5
20220704,19.405,-155.285,0.14,6.04,61.4
20220705,19.405,-155.285,0.03,5.76,62.3
20220706,19.405,-155.285,0.05,5.48,56.2
20220707,19.405,-155.285,0.06,5.01,67.4
20220708,19.405,-155.285,2.68,5.31,67.4
20220709,19.405,-155.285,0.74,5.92,69.0
20220710,19.405,-155.285,0.03,6.63,60.2
20220711,19.405,-155.285,0.02,5.96,69.4
20220712,19.405,-155.285,0.17,5.03,78.4
20220713,19.405,-155.285,0.15,6.6,78.0
20220714,19.405,-155.285,0.11,5.73,58.4
20220715,19.405,-155.285,3.23,5.5,56.5
20220716,19.405,-155.285,2.96,6.79,70.0
20220717,19.405,-155.285,0.17,5.2,66.9
20220718,19.405,-155.285,0.12,6.2,50.2
20220719,19.405,-155.285,0.06,6.16,54.0
20220720,19.405,-155.285,0.03,5.5,69.4
20220721,19.405,-155.285,0.05,5.88,75.5
20220722,19.405,-155.285,5.08,5.35,73.5
20220723,19.405,-155.285,1.36,5.64,87.9
20220724,19.405,-155.285,0.75,5.51,76.6
20220725,19.405,-155.285,5.64,5.72,60.4
20220726,19.405,-155.285,1.08,5.74,62.3
20220727,19.405,-155.285,0.05,4.74,65.8
20220728,19.405,-155.285,0.77,3.53,73.6
20220729,19.405,-155.285,0.63,3.8,76.9
20220730,19.405,-155.285,3.42,4.83,69.1
20220731,19.405,-155.285,3.41,7.87,41.6
20220801,19.405,-155.285,0.08,6.79,58.8
20220802,19.405,-155.285,0.4,5.33,58.6
20220803,19.405,-155.285,3.22,3.63,75.2
20220804,19.405,-155.285,7.16,3.62,136.4
20220805,19.405,-155.285,3.34,3.87,118.3
20220806,19.405,-155.285,1.64,4.54,101.2
20220807,19.405,-155.285,0.07,4.64,76.5
20220808,19.405,-155.285,0.27,5.32,68.9
20220809,19.405,-155.285,0.48,5.52,64.0
20220810,19.405,-155.285,0.44,5.59,65.6
20220811,19.405,-155.285,0.21,5.98,66.6
20220812,19.405,-155.285,1.7,5.53,61.8
20220813,19.405,-155.285,0.66,5.25,74.2
20220814,19.405,-155.285,0.07,5.09,84.4
20220815,19.405,-155.285,0.14,4.22,106.4
20220816,19.405,-155.285,0.05,3.85,101.3
20220817,19.405,-155.285,0.13,3.96,95.0
20220818,19.405,-155.285,1.94,4.57,82.8
20220819,19.405,-155.285,0.25,4.98,75.0
20220820,19.405,-155.285,0.06,5.51,64.9
20220821,19.405,-155.285,0.96,6.08,48.5
20220822,19.405,-155.285,10.27,4.76,89.8
20220823,19.405,-155.285,1.54,3.94,111.8
20220824,19.405,-155.285,0.05,3.95,93.9
20220825,19.405,-155.285,0.04,3.59,77.0
20220826,19.405,-155.285,2.05,4.76,79.1
20220827,19.405,-155.285,10.24,5.05,65.7
20220828,19.405,-155.285,2.73,4.81,78.4
20220829,19.405,-155.285,1.12,3.97,92.6
20220830,19.405,-155.285,0.37,3.76,86.1
20220831,19.405,-155.285,0.08,5.02,55.3
20220901,19.405,-155.285,2.27,5.35,61.6
20220902,19.405,-155.285,1.31,3.98,68.1
20220903,19.405,-155.285,5.28,4.76,82.4
20220904,19.405,-155.285,0.48,4.74,70.8
20220905,19.405,-155.285,5.3,5.09,46.5
20220906,19.405,-155.285,0.81,5.3,64.7
20220907,19.405,-155.285,0.1,5.06,58.3
20220908,19.405,-155.285,0.15,4.45,49.0
20220909,19.405,-155.285,25.83,3.8,66.8
20220910,19.405,-155.285,5.1,3.69,94.2
20220911,19.405,-155.285,1.29,3.97,99.0
20220912,19.405,-155.285,0.16,4.47,69.2
20220913,19.405,-155.285,2.02,4.8,66.2
20220914,19.405,-155.285,0.31,3.85,90.4
20220915,19.405,-155.285,0.31,4.34,105.4
20220916,19.405,-155.285,20.12,4.05,86.5
20220917,19.405,-155.285,2.69,3.58,77.6
20220918,19.405,-155.285,3.17,6.0,77.3
20220919,19.405,-155.285,0.08,5.85,72.1
20220920,19.405,-155.285,0.02,4.5,71.9
20220921,19.405,-155.285,0.03,4.36,74.0
20220922,19.405,-155.285,4.06,4.5,113.1
20220923,19.405,-155.285,8.54,4.41,117.1
20220924,19.405,-155.285,1.59,4.46,107.5
20220925,19.405,-155.285,0.2,4.77,95.9
20220926,19.405,-155.285,0.03,4.61,81.0
20220927,19.405,-155.285,0.05,4.47,73.8
20220928,19.405,-155.285,4.77,4.48,55.9
20220929,19.405,-155.285,0.89,3.88,71.4
20220930,19.405,-155.285,0.28,4.64,67.6
20221001,19.405,-155.285,5.31,3.13,55.1
20221002,19.405,-155.285,3.45,2.85,71.5
20221003,19.405,-155.285,0.98,3.16,90.4
20221004,19.405,-155.285,0.34,4.08,85.0
20221005,19.405,-155.285,0.32,4.17,99.9
20221006,19.405,-155.285,0.07,3.94,118.3
20221007,19.405,-155.285,0.12,3.39,131.8
20221008,19.405,-155.285,0.38,3.21,148.3
20221009,19.405,-155.285,14.14,3.51,164.6
20221010,19.405,-155.285,10.15,3.06,161.7
20221011,19.405,-155.285,0.77,2.26,109.8
20221012,19.405,-155.285,0.25,2.49,83.0
20221013,19.405,-155.285,0.13,2.97,142.7
20221014,19.405,-155.285,2.3,3.13,69.0
20221015,19.405,-155.285,0.53,5.11,33.7
20221016,19.405,-155.285,0.03,4.4,56.8
20221017,19.405,-155.285,0.06,3.44,80.3
20221018,19.405,-155.285,0.3,3.29,120.3
20221019,19.405,-155.285,0.68,4.16,157.3
20221020,19.405,-155.285,0.59,3.27,154.5
20221021,19.405,-155.285,3.25,3.84,109.5
20221022,19.405,-155.285,1.23,5.37,74.1
20221023,19.405,-155.285,1.0,5.55,75.7
20221024,19.405,-155.285,0.09,5.15,81.9
20221025,19.405,-155.285,0.03,5.01,71.0
20221026,19.405,-155.285,3.41,5.2,65.1
20221027,19.405,-155.285,0.35,4.51,65.4
20221028,19.405,-155.285,8.35,3.73,77.3
20221029,19.405,-155.285,2.38,4.57,65.8
20221030,19.405,-155.285,0.58,4.61,51.9
20221031,19.405,-155.285,0.37,5.15,57.4
20221101,19.405,-155.285,0.09,5.11,58.9
20221102,19.405,-155.285,0.71,4.4,83.6
20221103,19.405,-155.285,8.76,5.99,95.3
20221104,19.405,-155.285,4.11,5.3,99.7
20221105,19.405,-155.285,0.56,5.15,91.1
20221106,19.405,-155.285,0.21,5.79,85.9
20221107,19.405,-155.285,0.28,5.68,77.4
20221108,19.405,-155.285,0.26,6.09,66.5
20221109,19.405,-155.285,0.24,5.82,51.9
20221110,19.405,-155.285,0.18,5.65,31.2
20221111,19.405,-155.285,0.67,6.84,14.4
20221112,19.405,-155.285,22.88,5.13,27.4
20221113,19.405,-155.285,1.18,4.77,46.8
20221114,19.405,-155.285,4.6,5.47,51.0
20221115,19.405,-155.285,0.38,4.53,47.6
20221116,19.405,-155.285,0.45,3.89,57.5
20221117,19.405,-155.285,0.63,2.68,102.4
20221118,19.405,-155.285,7.63,4.53,74.5
20221119,19.405,-155.285,4.88,6.28,63.9
20221120,19.405,-155.285,1.61,7.27,54.6
20221121,19.405,-155.285,0.45,7.6,59.6
20221122,19.405,-155.285,0.09,6.1,71.3
20221123,19.405,-155.285,3.09,4.43,66.4
20221124,19.405,-155.285,3.86,7.13,31.2
20221125,19.405,-155.285,1.4,6.69,23.6
20221126,19.405,-155.285,0.21,3.15,53.4
20221127,19.405,-155.285,6.22,2.55,127.5
20221128,19.405,-155.285,4.49,1.76,117.7
20221129,19.405,-155.285,4.12,2.66,148.4
20221130,19.405,-155.285,1.57,2.31,115.9
20221201,19.405,-155.285,1.45,3.31,58.5
20221202,19.405,-155.285,3.9,4.79,86.7
20221203,19.405,-155.285,2.53,5.68,99.2
20221204,19.405,-155.285,2.61,5.12,91.6
20221205,19.405,-155.285,0.98,4.75,114.6
20221206,19.405,-155.285,1.51,5.83,109.8
20221207,19.405,-155.285,0.32,6.02,74.8
20221208,19.405,-155.285,0.47,7.26,67.7
20221209,19.405,-155.285,0.12,7.02,66.4
20221210,19.405,-155.285,0.26,6.46,57.3
20221211,19.405,-155.285,0.27,6.27,50.6
20221212,19.405,-155.285,0.34,6.46,49.3
